,userid,month,points_per_month,high_rank,low_rank,attribute1,attribute2
39,dd77d0a4-c35c-4e36-867f-339d4f114c2e,3.0,9608,1,612,1,C
40,db05a10e-2737-4327-935b-a5dd26c343bb,4.0,-11074,613,1,1,B
41,64663513-0110-4afe-a12d-843b1e8527e1,4.0,-7958,612,2,1,B
42,3b73de19-ba53-4db0-a84a-29fe7ee9ddcc,4.0,-7411,611,3,0,A
43,6c86a4d5-efe5-4d61-9dc3-59690ba87d1f,4.0,-6924,610,4,0,C
44,3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,4.0,7286,4,610,0,B
45,bd0490a9-daeb-4ee3-be3e-d9e6e97ba4b3,4.0,9618,3,611,0,C
46,dd77d0a4-c35c-4e36-867f-339d4f114c2e,4.0,11095,2,612,1,C
47,87898b2b-bd3a-4702-ad6e-f259b39796f5,4.0,11899,1,613,1,A
48,12c3c2e5-6e64-4ea0-a299-adf5e120473e,7.0,-6037,652,1,0,B
49,69720b3e-07a2-4d37-9c11-467609543eaf,7.0,-5473,651,2,0,B
50,2d172cc1-15b2-4442-9fa6-82b30d77683d,7.0,-5300,650,3,0,C
51,71a87e9d-6592-4cf6-98bd-e8aff326deaa,7.0,-5199,649,4,0,C
52,9370ca28-6833-496d-837b-07b1f19b0c5c,7.0,14542,4,649,1,C
53,dd77d0a4-c35c-4e36-867f-339d4f114c2e,7.0,16382,3,650,1,C
54,c2926ad9-f9c8-4e32-a792-dd0d2b082bde,7.0,16989,2,651,0,C
55,5a6638c5-0e2c-46d8-8dba-f556d212f6a0,7.0,31934,1,652,1,C
56,58027d1d-79e3-414b-8fe8-9f6c5a6cffde,8.0,-18875,717,1,0,B
57,e9260040-6a87-4a02-96d5-f76012899142,8.0,-15521,716,2,0,C
58,4ec10eab-f0b0-498b-83bf-8ab03d8cb151,8.0,-13001,715,3,0,B
59,5841370f-af41-4fb6-8edd-3f470b250812,8.0,-12710,714,4,1,B
60,c8111bb2-49e4-4d55-a1da-00be9d0084f2,8.0,38580,4,714,0,C
61,ccca3c0a-c4f7-44e8-860d-bbdb00839ad9,8.0,42258,3,715,1,C
62,0e76d6d6-2c23-4c4b-b975-d78b2e84003e,8.0,59919,2,716,0,C
63,dd77d0a4-c35c-4e36-867f-339d4f114c2e,8.0,69954,1,717,1,C
64,768c0e1e-9b28-4f4a-a48c-19fa2242b0eb,9.0,-14044,793,1,0,B
65,638219bf-61ad-41c5-8603-a90d8d7d8d32,9.0,-12686,792,2,0,C
66,2cca8b2c-dd8a-4802-85d3-edcea9b3e891,9.0,-10883,791,3,1,B
67,dbdbe6f2-137f-4d74-8438-9a755a335c99,9.0,-7651,790,4,0,C
68,5a6638c5-0e2c-46d8-8dba-f556d212f6a0,9.0,18972,4,790,1,C
69,b0283441-5cc5-4b11-9d2e-1903f1b92191,9.0,21117,3,791,1,C
70,dd77d0a4-c35c-4e36-867f-339d4f114c2e,9.0,21836,2,792,1,C
71,b09b7e30-da2d-41be-826d-6dcc0aaf7876,9.0,28296,1,793,1,C
72,76dac9d0-9017-46e5-9540-ff8fdad348c5,10.0,-9143,823,1,1,B
73,4037039e-ba02-4e33-b99a-a9a1972379f0,10.0,-5917,822,2,0,B
74,3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,10.0,-5045,821,3,0,B
75,49e711ce-2e7d-4efb-b14c-a84f2942aef2,10.0,-4717,820,4,0,C
76,dfdc226a-7b93-4baa-9092-c475f6f9300f,10.0,5124,4,820,0,C
77,9370ca28-6833-496d-837b-07b1f19b0c5c,10.0,5899,3,821,1,C
78,1d780587-c74c-41b1-8955-6417e283f653,10.0,7572,2,822,1,C
79,5a6638c5-0e2c-46d8-8dba-f556d212f6a0,10.0,10242,1,823,1,C
80,b5262a59-ba5e-4d10-a282-b6db76ee95ba,11.0,-6389,835,1,0,B
81,0b6c57c7-f805-432d-a049-58744371d3cd,11.0,-4719,834,2,0,B
82,260eaacf-1034-4f10-92d4-492c37db5e56,11.0,-4645,833,3,0,B
83,2cbb8e88-70d8-4c58-8616-014c849746a9,11.0,-3859,832,4,0,B
84,9370ca28-6833-496d-837b-07b1f19b0c5c,11.0,7128,4,832,1,C
85,dcc23792-78e8-44da-9d83-2e675cf074a9,11.0,7707,3,833,0,C
86,958c8cae-5216-4921-b237-1dcc1cdb69e8,11.0,9579,2,834,0,A
87,1d780587-c74c-41b1-8955-6417e283f653,11.0,12797,1,835,1,C
88,acc10705-a72a-4128-a3bb-9f3c7de85f46,12.0,-3864,829,1,0,B
89,793495a1-f007-495e-b1f4-7e658b5dd699,12.0,-3756,828,2,0,B
90,13d96f81-0e6e-4fd7-8fdf-dad0d8bf3708,12.0,-3369,827,3,0,B
91,69720b3e-07a2-4d37-9c11-467609543eaf,12.0,-3176,826,4,0,B
92,424fc967-5e61-4e77-afd8-619b03cec9e4,12.0,5225,4,826,1,C
93,d272e8a1-b683-48a5-979f-adf8f97766fe,12.0,5270,3,827,0,C
94,83b47be7-8b84-481c-a6f8-de817f6a8db8,12.0,5542,2,828,1,C
95,638219bf-61ad-41c5-8603-a90d8d7d8d32,12.0,7077,1,829,0,C
